设备ID,设备类型,时间戳,温度(℃),压力(MPa),振动(m/s²),流量(m³/h),产量(件),合格率(%),故障标记,故障类型
EQ001,风机,2026-02-24 13:26:42,70.09,5.14,1.349,100.12,750.92,98.46,0,无
EQ001,风机,2026-02-24 14:26:42,61.39,5.64,1.021,95.38,805.68,98.66,0,无
EQ001,风机,2026-02-24 15:26:42,71.1,5.26,1.64,76.57,792.41,98.59,0,无
EQ001,风机,2026-02-24 16:26:42,61.97,5.63,0.938,94.08,770.53,98.85,0,无
EQ001,风机,2026-02-24 17:26:42,62.5,5.58,1.27,103.69,840.64,98.63,0,无
EQ001,风机,2026-02-24 18:26:42,54.2,5.66,1.224,107.32,798.95,98.12,0,无
EQ001,风机,2026-02-24 19:26:42,68.94,5.65,1.164,97.57,789.12,99.1,0,无
EQ001,风机,2026-02-24 20:26:42,65.78,6.49,1.392,100.25,834.1,97.69,0,无
EQ001,风机,2026-02-24 21:26:42,62.27,5.92,1.029,107.14,759.09,100.09,0,无
EQ001,风机,2026-02-24 22:26:42,52.96,5.27,1.347,109.5,831.21,98.63,0,无
EQ001,风机,2026-02-24 23:26:42,59.91,5.46,1.023,91.87,848.76,97.85,0,无
EQ001,风机,2026-02-25 00:26:42,54.22,5.81,1.124,93.24,758.89,98.24,0,无
EQ001,风机,2026-02-25 01:26:42,61.71,5.7,0.859,102.78,727.6,96.59,0,无
EQ001,风机,2026-02-25 02:26:42,54.97,5.87,1.093,117.7,842.88,97.84,0,无
EQ001,风机,2026-02-25 03:26:42,59.87,5.4,0.994,96.54,816.14,97.17,0,无
EQ001,风机,2026-02-25 04:26:42,63.64,6.92,,104.82,834.51,97.6,0,无
EQ001,风机,2026-02-25 05:26:42,61.57,6.01,1.029,90.72,801.23,98.5,0,无
EQ001,风机,2026-02-25 06:26:42,70.16,6.58,1.646,90.79,843.62,98.18,0,无
EQ001,风机,2026-02-25 07:26:42,75.33,5.52,0.748,92.81,693.81,97.47,0,无
EQ001,风机,2026-02-25 08:26:42,54.69,6.09,1.103,122.51,847.52,97.42,0,无
EQ001,风机,2026-02-25 09:26:42,53.71,6.3,0.604,121.98,858.97,97.53,0,无
EQ001,风机,2026-02-25 10:26:42,48.01,6.81,0.966,114.85,720.28,97.4,0,无
EQ001,风机,2026-02-25 11:26:42,60.04,6.03,,107.47,746.62,97.86,0,无
EQ001,风机,2026-02-25 12:26:42,60.84,6.31,1.213,86.5,723.29,99.28,0,无
EQ001,风机,2026-02-25 13:26:42,62.33,5.55,1.465,101.39,858.96,98.07,0,无
EQ001,风机,2026-02-25 14:26:42,74.43,7.05,0.925,111.66,832.27,99.37,0,无
EQ001,风机,2026-02-25 15:26:42,53.25,6.41,1.318,78.9,740.84,95.96,0,无
EQ001,风机,2026-02-25 16:26:42,58.11,6.43,1.451,100.89,881.43,96.62,0,无
EQ001,风机,2026-02-25 17:26:42,48.08,5.97,1.115,99.61,696.63,97.91,0,无
EQ001,风机,2026-02-25 18:26:42,50.87,6.4,1.11,88.72,774.31,96.94,0,无
EQ001,风机,2026-02-25 19:26:42,59.56,6.57,0.704,106.05,773.49,97.21,0,无
EQ001,风机,2026-02-25 20:26:42,59.25,5.38,0.834,85.63,898.24,98.04,0,无
EQ001,风机,2026-02-25 21:26:42,55.1,6.13,0.966,97.35,830.71,98.76,0,无
EQ001,风机,2026-02-25 22:26:42,56.29,5.65,0.917,72.38,724.24,99.37,0,无
EQ001,风机,2026-02-25 23:26:42,71.51,5.85,1.173,103.74,953.94,99.12,0,无
EQ001,风机,2026-02-26 00:26:42,59.1,5.43,0.518,102.44,762.18,96.58,0,无
EQ001,风机,2026-02-26 01:26:42,55.47,5.35,1.506,110.58,799.6,99.48,0,无
EQ001,风机,2026-02-26 02:26:42,60.54,5.48,1.457,106.47,748.14,97.81,0,无
EQ001,风机,2026-02-26 03:26:42,53.87,5.17,1.278,122.91,730.07,98.56,0,无
EQ001,风机,2026-02-26 04:26:42,55.45,5.71,0.822,89.63,802.43,97.17,0,无
EQ001,风机,2026-02-26 05:26:42,61.89,5.97,0.928,89.11,771.16,98.76,0,无
EQ001,风机,2026-02-26 06:26:42,63.51,5.41,1.03,109.02,716.53,98.54,0,无
EQ001,风机,2026-02-26 07:26:42,55.36,6.34,0.771,78.34,718.62,98.05,0,无
EQ001,风机,2026-02-26 08:26:42,61.82,5.46,1.192,80.06,796.7,96.79,0,无
EQ001,风机,2026-02-26 09:26:42,55.44,6.03,0.742,95.39,850.31,97.42,0,无
EQ001,风机,2026-02-26 10:26:42,65.85,5.32,1.159,117.3,676.42,97.2,0,无
EQ001,风机,2026-02-26 11:26:42,64.04,5.88,1.111,92.75,804.33,97.84,0,无
EQ001,风机,2026-02-26 12:26:42,68.17,6.15,1.101,95.06,775.62,97.57,0,无
EQ001,风机,2026-02-26 13:26:42,62.76,5.75,,124.9,843.56,97.67,0,无
EQ001,风机,2026-02-26 14:26:42,68.41,5.76,0.389,87.9,706.46,97.65,0,无
EQ001,风机,2026-02-26 15:26:42,60.13,7.01,1.098,97.37,841.47,95.79,0,无
EQ001,风机,2026-02-26 16:26:42,61.65,6.46,0.556,113.73,816.92,97.58,0,无
EQ001,风机,2026-02-26 17:26:42,64.43,7.36,1.055,102.98,777.03,97.15,0,无
EQ001,风机,2026-02-26 18:26:42,65.81,5.49,1.021,94.27,823.95,98.33,0,无
EQ001,风机,2026-02-26 19:26:42,67.26,5.69,0.919,88.25,777.79,98.38,0,无
EQ001,风机,2026-02-26 20:26:42,65.3,5.45,1.261,116.27,820.67,99.88,0,无
EQ001,风机,2026-02-26 21:26:42,54.58,5.25,0.466,117.95,832.72,97.94,0,无
EQ001,风机,2026-02-26 22:26:42,92.94,5.32,1.734,101.55,805.47,98.73,0,无
EQ001,风机,2026-02-26 23:26:42,63.37,6.13,0.763,105.66,894.1,99.35,0,无
EQ001,风机,2026-02-27 00:26:42,71.15,5.69,0.703,98.49,802.79,99.09,0,无
EQ001,风机,2026-02-27 01:26:42,48.15,6.92,0.953,94.88,749.39,96.35,0,无
EQ001,风机,2026-02-27 02:26:42,65.76,6.04,0.613,84.46,783.21,99.67,0,无
EQ001,风机,2026-02-27 03:26:42,58.18,5.1,0.926,96.73,665.16,97.95,0,无
EQ001,风机,2026-02-27 04:26:42,58.38,6.42,1.555,113.52,786.56,96.89,0,无
EQ001,风机,2026-02-27 05:26:42,78.01,6.04,1.004,99.71,809.9,97.86,0,无
EQ001,风机,2026-02-27 06:26:42,55.98,5.67,0.99,93.48,764.36,98.11,0,无
EQ001,风机,2026-02-27 07:26:42,58.22,6.9,0.205,113.1,862.3,95.93,0,无
EQ001,风机,2026-02-27 08:26:42,57.6,5.78,0.578,90.67,744.47,99.75,0,无
EQ001,风机,2026-02-27 09:26:42,66.55,6.76,1.217,86.45,773.77,98.49,0,无
EQ001,风机,2026-02-27 10:26:42,51.45,6.43,0.928,95.5,835.55,98.44,0,无
EQ001,风机,2026-02-27 11:26:42,57.47,6.7,0.676,107.39,829.66,97.69,0,无
EQ001,风机,2026-02-27 12:26:42,62.28,5.25,1.277,97.78,773.86,99.05,0,无
EQ001,风机,2026-02-27 13:26:42,55.07,5.15,0.533,107.27,735.98,99.75,0,无
EQ001,风机,2026-02-27 14:26:42,45.43,7.02,1.063,98.84,772.75,98.4,0,无
EQ001,风机,2026-02-27 15:26:42,59.74,6.66,1.034,101.8,781.82,97.94,0,无
EQ001,风机,2026-02-27 16:26:42,62.15,4.97,0.596,108.92,808.54,97.82,0,无
EQ001,风机,2026-02-27 17:26:42,60.13,6.21,0.838,90.66,809.79,97.02,0,无
EQ001,风机,2026-02-27 18:26:42,62.86,4.98,1.309,105.67,812.8,98.98,0,无
EQ001,风机,2026-02-27 19:26:42,71.66,6.61,0.448,84.65,768.76,98.03,0,无
EQ001,风机,2026-02-27 20:26:42,63.62,5.56,1.056,90.94,769.42,96.59,0,无
EQ001,风机,2026-02-27 21:26:42,53.54,5.19,0.707,112.64,752.53,100.63,0,无
EQ001,风机,2026-02-27 22:26:42,63.45,6.11,0.742,108.4,771.22,98.12,0,无
EQ001,风机,2026-02-27 23:26:42,77.92,5.94,1.345,91.56,798.25,99.77,0,无
EQ001,风机,2026-02-28 00:26:42,55.61,7.09,1.212,93.25,831.62,98.97,0,无
EQ001,风机,2026-02-28 01:26:42,64.35,5.06,0.782,97.03,796.28,98.62,0,无
EQ001,风机,2026-02-28 02:26:42,61.24,5.2,1.114,107.33,827.99,99.08,0,无
EQ001,风机,2026-02-28 03:26:42,65.84,6.28,0.979,80.07,821.48,98.21,0,无
EQ001,风机,2026-02-28 04:26:42,61.9,5.23,0.676,112.64,798.02,98.68,0,无
EQ001,风机,2026-02-28 05:26:42,60.2,6.02,1.281,93.81,804.81,97.54,0,无
EQ001,风机,2026-02-28 06:26:42,56.96,5.81,1.067,94.26,862.79,97.11,0,无
EQ001,风机,2026-02-28 07:26:42,58.69,5.74,1.434,102.36,851.59,96.51,0,无
EQ001,风机,2026-02-28 08:26:42,61.87,6.53,1.025,112.79,774.14,99.41,0,无
EQ001,风机,2026-02-28 09:26:42,76.09,5.78,0.866,117.44,878.98,97.48,0,无
EQ001,风机,2026-02-28 10:26:42,57.06,5.83,0.597,88.98,749.79,97.23,0,无
EQ001,风机,2026-02-28 11:26:42,59.76,6.14,1.465,88.02,849.22,97.79,0,无
EQ001,风机,2026-02-28 12:26:42,59.65,6.4,0.663,104.59,808.32,98.49,0,无
EQ001,风机,2026-02-28 13:26:42,62.02,7.47,0.809,93.63,768.84,97.44,0,无
EQ001,风机,2026-02-28 14:26:42,55.54,6.71,1.426,93.15,758.38,98.47,0,无
EQ001,风机,2026-02-28 15:26:42,56.13,3.19,1.061,81.81,877.38,99.8,0,无
EQ001,风机,2026-02-28 16:26:42,55.71,5.77,1.086,104.01,832.93,100.01,0,无
EQ001,风机,2026-02-28 17:26:42,58.76,5.52,0.586,91.23,798.34,99.79,0,无
EQ001,风机,2026-02-28 18:26:42,56.38,6.13,0.995,114.26,926.35,97.47,0,无
EQ001,风机,2026-02-28 19:26:42,56.57,6.63,1.205,122.16,829.2,97.64,0,无
EQ001,风机,2026-02-28 20:26:42,64.13,6.67,1.246,106.09,853.33,99.17,0,无
EQ001,风机,2026-02-28 21:26:42,69.68,6.39,0.95,101.76,860.33,97.18,0,无
EQ001,风机,2026-02-28 22:26:42,62.58,5.76,1.009,115.34,809.55,98.05,0,无
EQ001,风机,2026-02-28 23:26:42,50.48,6.45,1.194,125.96,784.61,98.22,0,无
EQ001,风机,2026-03-01 00:26:42,61.75,6.95,0.971,103.35,830.39,98.19,0,无
EQ001,风机,2026-03-01 01:26:42,56.87,6.12,1.322,87.68,806.65,97.3,0,无
EQ001,风机,2026-03-01 02:26:42,68.37,5.09,0.832,104.53,878.28,97.93,0,无
EQ001,风机,2026-03-01 03:26:42,56.11,7.13,0.566,73.61,822.0,97.5,0,无
EQ001,风机,2026-03-01 04:26:42,52.85,6.43,1.073,93.23,735.98,98.87,0,无
EQ001,风机,2026-03-01 05:26:42,64.55,5.94,1.554,87.16,723.72,97.31,0,无
EQ001,风机,2026-03-01 06:26:42,59.68,6.15,0.928,104.22,737.42,99.44,0,无
EQ001,风机,2026-03-01 07:26:42,59.42,6.67,1.103,105.48,828.49,98.45,0,无
EQ001,风机,2026-03-01 08:26:42,64.5,6.8,1.059,108.51,795.51,99.44,0,无
EQ001,风机,2026-03-01 09:26:42,55.27,7.08,0.988,82.83,806.41,97.32,0,无
EQ001,风机,2026-03-01 10:26:42,65.88,5.61,0.866,77.33,777.38,95.58,0,无
EQ001,风机,2026-03-01 11:26:42,48.91,6.46,1.236,105.11,751.65,97.95,0,无
EQ001,风机,2026-03-01 12:26:42,59.97,5.3,1.451,110.53,788.95,98.03,0,无
EQ001,风机,2026-03-01 13:26:42,61.46,4.77,0.926,91.82,749.92,97.72,0,无
EQ001,风机,2026-03-01 14:26:42,72.58,6.38,0.829,106.87,869.97,98.92,0,无
EQ001,风机,2026-03-01 15:26:42,60.42,5.61,1.209,104.72,844.76,98.64,0,无
EQ001,风机,2026-03-01 16:26:42,67.35,5.68,1.395,102.37,903.76,97.31,0,无
EQ001,风机,2026-03-01 17:26:42,72.15,6.12,0.805,94.19,783.98,98.42,0,无
EQ001,风机,2026-03-01 18:26:42,63.66,5.66,0.993,125.71,886.38,98.44,0,无
EQ001,风机,2026-03-01 19:26:42,60.27,6.07,1.184,87.73,787.13,96.33,0,无
EQ001,风机,2026-03-01 20:26:42,62.79,6.39,0.855,118.89,738.71,96.54,0,无
EQ001,风机,2026-03-01 21:26:42,61.57,6.63,1.505,94.49,853.93,97.96,0,无
EQ001,风机,2026-03-01 22:26:42,58.79,6.53,1.196,81.08,873.83,99.38,0,无
EQ001,风机,2026-03-01 23:26:42,55.62,6.24,1.148,103.13,772.48,97.33,0,无
EQ001,风机,2026-03-02 00:26:42,59.82,6.7,1.163,95.55,838.58,95.15,0,无
EQ001,风机,2026-03-02 01:26:42,68.04,4.96,0.891,86.56,735.27,99.16,0,无
EQ001,风机,2026-03-02 02:26:42,56.73,6.21,0.986,105.72,803.84,96.72,0,无
EQ001,风机,2026-03-02 03:26:42,66.97,5.7,0.533,94.86,875.04,98.85,0,无
EQ001,风机,2026-03-02 04:26:42,57.56,5.79,0.904,124.92,819.1,98.43,0,无
EQ001,风机,2026-03-02 05:26:42,67.21,6.14,0.922,97.64,796.42,97.96,0,无
EQ001,风机,2026-03-02 06:26:42,65.09,6.03,1.22,99.03,803.93,96.0,0,无
EQ001,风机,2026-03-02 07:26:42,66.41,6.21,1.299,65.24,904.42,97.86,0,无
EQ001,风机,2026-03-02 08:26:42,67.76,5.38,1.184,87.36,768.81,99.91,0,无
EQ001,风机,2026-03-02 09:26:42,58.67,6.13,1.261,105.95,807.52,98.36,0,无
EQ001,风机,2026-03-02 10:26:42,76.82,5.97,1.06,112.61,855.28,99.19,0,无
EQ001,风机,2026-03-02 11:26:42,64.47,5.31,1.49,86.24,815.13,97.25,0,无
EQ001,风机,2026-03-02 12:26:42,59.55,6.2,1.096,105.06,880.69,98.45,0,无
EQ001,风机,2026-03-02 13:26:42,58.29,6.58,1.357,85.27,829.87,98.7,0,无
EQ001,风机,2026-03-02 14:26:42,57.92,6.83,0.955,101.51,791.35,98.02,0,无
EQ001,风机,2026-03-02 15:26:42,52.33,5.14,1.478,89.84,750.43,95.85,0,无
EQ001,风机,2026-03-02 16:26:42,55.53,5.21,1.493,112.12,765.59,100.25,0,无
EQ001,风机,2026-03-02 17:26:42,66.87,5.81,0.25,127.49,730.52,96.35,0,无
EQ001,风机,2026-03-02 18:26:42,67.16,7.46,1.415,106.77,829.74,98.85,0,无
EQ001,风机,2026-03-02 19:26:42,65.31,6.17,1.031,99.25,762.3,97.72,0,无
EQ001,风机,2026-03-02 20:26:42,48.15,5.94,0.703,86.76,808.99,99.39,0,无
EQ001,风机,2026-03-02 21:26:42,66.43,5.06,0.703,111.29,750.88,97.78,0,无
EQ001,风机,2026-03-02 22:26:42,95.78,5.42,1.032,83.99,769.93,98.32,0,无
EQ001,风机,2026-03-02 23:26:42,48.85,6.26,0.994,106.63,811.2,99.36,0,无
EQ001,风机,2026-03-03 00:26:42,60.88,5.74,1.037,106.52,802.44,98.04,0,无
EQ001,风机,2026-03-03 01:26:42,55.09,5.6,0.579,120.99,737.81,97.31,0,无
EQ001,风机,2026-03-03 02:26:42,54.97,6.54,0.912,114.97,766.33,98.28,0,无
EQ001,风机,2026-03-03 03:26:42,54.15,7.29,0.644,103.72,831.69,98.41,0,无
EQ001,风机,2026-03-03 04:26:42,58.7,5.92,1.013,98.24,848.19,100.21,0,无
EQ001,风机,2026-03-03 05:26:42,56.1,5.18,0.974,130.96,759.82,99.64,0,无
EQ001,风机,2026-03-03 06:26:42,71.74,5.67,1.171,119.54,781.04,97.8,0,无
EQ001,风机,2026-03-03 07:26:42,55.93,5.39,0.805,85.31,801.7,97.23,0,无
EQ001,风机,2026-03-03 08:26:42,61.64,5.07,1.099,110.0,700.31,98.37,0,无
EQ001,风机,2026-03-03 09:26:42,68.59,5.27,1.502,105.03,764.75,97.94,0,无
EQ001,风机,2026-03-03 10:26:42,63.91,6.05,1.162,88.95,808.47,96.59,0,无
EQ001,风机,2026-03-03 11:26:42,59.22,5.46,0.779,114.83,854.57,98.61,0,无
EQ001,风机,2026-03-03 12:26:42,52.35,5.81,1.364,101.7,915.97,98.39,0,无
EQ001,风机,2026-03-03 13:26:42,61.34,5.81,1.04,98.17,835.41,98.96,0,无
EQ001,风机,2026-03-03 14:26:42,54.5,5.2,0.449,106.1,744.83,95.85,0,无
EQ001,风机,2026-03-03 15:26:42,62.72,7.5,0.998,110.06,804.09,97.9,0,无
EQ001,风机,2026-03-03 16:26:42,66.43,5.83,1.08,103.86,766.6,98.99,0,无
EQ001,风机,2026-03-03 17:26:42,58.78,5.55,1.161,89.22,801.41,97.99,0,无
EQ001,风机,2026-03-03 18:26:42,67.6,6.28,0.992,109.81,869.51,98.56,0,无
EQ001,风机,2026-03-03 19:26:42,60.07,5.21,0.68,96.34,769.52,97.81,0,无
EQ001,风机,2026-03-03 20:26:42,60.4,6.32,0.979,105.84,803.22,96.02,0,无
EQ001,风机,2026-03-03 21:26:42,53.42,5.91,0.637,107.2,876.54,99.22,0,无
EQ001,风机,2026-03-03 22:26:42,58.51,6.89,1.045,95.95,769.33,97.7,0,无
EQ001,风机,2026-03-03 23:26:42,57.28,6.1,1.048,100.04,821.85,99.19,0,无
EQ001,风机,2026-03-04 00:26:42,66.65,5.11,0.234,111.21,731.66,97.78,0,无
EQ001,风机,2026-03-04 01:26:42,51.81,4.92,1.162,109.11,771.17,95.41,0,无
EQ001,风机,2026-03-04 02:26:42,56.18,6.24,0.556,102.2,799.23,98.58,0,无
EQ001,风机,2026-03-04 03:26:42,60.84,5.42,1.359,98.1,798.63,97.07,0,无
EQ001,风机,2026-03-04 04:26:42,56.9,5.47,0.948,120.54,731.4,96.39,0,无
EQ001,风机,2026-03-04 05:26:42,70.3,5.87,0.799,112.48,769.72,99.83,0,无
EQ001,风机,2026-03-04 06:26:42,64.75,5.71,1.647,92.73,837.1,98.3,0,无
EQ001,风机,2026-03-04 07:26:42,69.11,6.94,1.01,90.96,823.0,97.32,0,无
EQ001,风机,2026-03-04 08:26:42,74.09,6.08,0.89,102.22,732.64,97.03,0,无
EQ001,风机,2026-03-04 09:26:42,68.4,5.61,0.686,106.44,859.29,98.72,0,无
EQ001,风机,2026-03-04 10:26:42,66.97,5.55,0.573,118.02,783.87,97.75,0,无
EQ001,风机,2026-03-04 11:26:42,69.3,6.33,1.137,125.98,767.82,98.93,0,无
EQ001,风机,2026-03-04 12:26:42,60.4,6.16,1.459,106.09,826.91,99.07,0,无
EQ001,风机,2026-03-04 13:26:42,57.45,5.5,0.687,76.4,902.81,96.9,0,无
EQ001,风机,2026-03-04 14:26:42,58.45,5.83,1.092,109.79,843.02,97.42,0,无
EQ001,风机,2026-03-04 15:26:42,58.83,6.17,0.925,119.29,824.55,98.73,0,无
EQ001,风机,2026-03-04 16:26:42,64.64,6.7,1.054,84.44,819.98,97.35,0,无
EQ001,风机,2026-03-04 17:26:42,56.3,6.35,1.371,100.26,815.44,99.7,0,无
EQ001,风机,2026-03-04 18:26:42,61.69,7.56,1.17,78.87,837.67,98.38,0,无
EQ001,风机,2026-03-04 19:26:42,69.03,6.4,0.958,85.31,789.55,97.15,0,无
EQ001,风机,2026-03-04 20:26:42,55.94,6.35,1.501,104.74,740.21,98.44,0,无
EQ001,风机,2026-03-04 21:26:42,68.38,5.63,0.96,100.18,760.76,98.65,0,无
EQ001,风机,2026-03-04 22:26:42,59.15,6.25,0.734,94.75,836.12,97.63,0,无
EQ001,风机,2026-03-04 23:26:42,72.09,5.76,1.067,111.19,729.08,96.24,0,无
EQ001,风机,2026-03-05 00:26:42,49.32,6.76,0.834,130.7,771.79,98.18,0,无
EQ001,风机,2026-03-05 01:26:42,70.79,7.2,1.618,114.5,851.2,98.59,0,无
EQ001,风机,2026-03-05 02:26:42,65.45,5.67,0.755,99.96,791.49,97.55,0,无
EQ001,风机,2026-03-05 03:26:42,64.87,6.57,1.027,117.73,742.92,97.81,0,无
EQ001,风机,2026-03-05 04:26:42,54.98,4.88,0.975,98.54,875.67,98.63,0,无
EQ001,风机,2026-03-05 05:26:42,52.83,7.11,1.366,106.99,788.68,97.04,0,无
EQ001,风机,2026-03-05 06:26:42,57.39,6.65,1.565,118.52,775.56,96.88,0,无
EQ001,风机,2026-03-05 07:26:42,60.99,4.94,1.097,98.23,776.7,96.41,0,无
EQ001,风机,2026-03-05 08:26:42,63.6,5.68,0.649,65.53,798.62,99.77,0,无
EQ001,风机,2026-03-05 09:26:42,71.63,5.73,0.819,105.63,750.08,98.3,0,无
EQ001,风机,2026-03-05 10:26:42,65.36,6.74,0.97,97.56,756.1,97.17,0,无
EQ001,风机,2026-03-05 11:26:42,58.41,6.22,1.274,90.36,874.63,97.73,0,无
EQ001,风机,2026-03-05 12:26:42,59.85,5.55,0.273,110.61,836.84,97.72,0,无
EQ001,风机,2026-03-05 13:26:42,60.47,6.31,0.531,93.65,839.71,96.75,0,无
EQ001,风机,2026-03-05 14:26:42,62.05,5.19,1.14,99.57,719.24,99.16,0,无
EQ001,风机,2026-03-05 15:26:42,54.86,5.51,1.06,113.78,749.21,98.06,0,无
EQ001,风机,2026-03-05 16:26:42,63.0,6.42,1.053,95.6,758.62,98.09,0,无
EQ001,风机,2026-03-05 17:26:42,52.5,4.25,1.131,110.85,681.85,96.99,0,无
EQ001,风机,2026-03-05 18:26:42,64.33,7.23,1.006,91.26,790.86,99.37,0,无
EQ001,风机,2026-03-05 19:26:42,55.48,5.52,0.855,88.56,806.13,99.62,0,无
EQ001,风机,2026-03-05 20:26:42,62.26,5.85,0.912,81.24,844.16,97.92,0,无
EQ001,风机,2026-03-05 21:26:42,58.74,7.92,1.09,90.98,778.68,99.15,0,无
EQ001,风机,2026-03-05 22:26:42,60.79,5.14,1.276,91.98,893.66,99.08,0,无
EQ001,风机,2026-03-05 23:26:42,56.87,6.77,1.02,110.23,824.24,97.15,0,无
EQ001,风机,2026-03-06 00:26:42,55.5,6.62,0.9,95.16,752.24,98.42,0,无
EQ001,风机,2026-03-06 01:26:42,74.44,5.36,1.007,116.95,796.02,98.45,0,无
EQ001,风机,2026-03-06 02:26:42,52.56,6.26,0.944,111.83,859.37,100.59,0,无
EQ001,风机,2026-03-06 03:26:42,64.06,6.2,1.058,95.76,816.92,97.7,0,无
EQ001,风机,2026-03-06 04:26:42,61.18,6.79,0.698,113.68,865.86,97.88,0,无
EQ001,风机,2026-03-06 05:26:42,45.15,5.64,1.389,99.73,750.03,97.5,0,无
EQ001,风机,2026-03-06 06:26:42,65.88,6.33,0.928,95.6,780.41,97.08,0,无
EQ001,风机,2026-03-06 07:26:42,71.31,5.81,1.365,118.26,849.92,97.57,0,无
EQ001,风机,2026-03-06 08:26:42,62.83,5.99,0.729,103.89,741.05,99.19,0,无
EQ001,风机,2026-03-06 09:26:42,56.75,6.12,1.085,96.89,829.33,97.53,0,无
EQ001,风机,2026-03-06 10:26:42,66.1,5.19,1.038,123.27,749.98,97.32,0,无
